LabID,SiteLabel,SiteDescr,Site,Date,SampleType,Q_cfs,ROSS Turbidity,ROSS Time (MST),ROSS Field_DO_mgL,ROSS Field_Cond_µS/cm,ROSS Field_Temp_C,Turbidity,TSS,ChlA,DOC,DTN,pH,ANC,SC,Na,NH4,K,Mg,Ca,F,Cl,NO3,PO4,SO4
FCW 17,PBR,,Poudre Below Rustic,18-Mar-15,NORM,,,,,,,,,,2.48,0.15,7.79,594.41,64.8,3.16,0.02,0.89,1.84,7.05,0.09,1.55,0,0,2.86
FCW 24,PNF,,Poudre Above North Fork,18-Mar-15,NORM,,,,,,,,,,2.59,0.22,7.88,775.4,88.6,4.51,0.03,0.97,2.55,9.62,0.15,2.84,0.3,0,4.88
FCW 18,SFM,,Poudre South Fork,18-Mar-15,NORM,,,,,,,,,,2.42,0.17,7.76,605.17,65.4,3.44,0.01,0.9,1.89,7.11,0.12,1.46,0.11,0,3.25
FCW 27,JWC,Joe Wright Crk Below Chambers,JWC-Joe Wright @ Aspen Glen Campground,20-Apr-15,NORM,,,,,,,,,,4.63,0.23,7.75,504.9,57.8,2.45,0.03,0.89,1.33,6.88,0.06,1.34,0.05,0,2.36
FCW 29,JWC,Joe Wright Above Poudre South,JWC-Joe Wright @ Aspen Glen Campground,20-Apr-15,DUPLICATE,,,,,,,,,,3.37,0.35,7.66,579.52,55.2,3.37,0.03,0.67,1.52,5.3,0.14,0.96,0.97,0,4.48
FCW 31,PBR,,Poudre Below Rustic,20-Apr-15,NORM,,,,,,,,,,4.89,0.19,7.69,487.17,55.7,2.92,0.02,0.87,1.57,6.1,0.07,1.25,0,0,2.7
FCW 28,PJW,,Poudre Above Joe Wright,20-Apr-15,NORM,,,,,,,,,,6.26,0.3,7.53,324.13,37.8,2.12,0.03,0.68,1,4.3,0.06,0.46,0.15,0,1.75
FCW 35,PNF,,Poudre Above North Fork,20-Apr-15,NORM,,,,,,,,,,4.98,0.46,7.78,629.15,87,4.73,0.04,0.98,2.37,9.53,0.15,3.66,1.22,0,5.19
FCW 30,SFM,,Poudre South Fork,20-Apr-15,NORM,,,,,,,,,,4.41,0.22,7.72,504.97,58.5,3.18,0.02,0.81,1.66,6.29,0.09,1.33,0.16,0,3.4
FCW 46,BMD,Barnes Meadow Reservoir outflow,Barnes Meadow Outflow,8-Jun-15,NORM,,,,,,,,,,11.47,0.33,7.43,331.17,40.2,2.2,0.03,0.82,0.85,5.5,0.03,0.55,0.13,0,1.63
FCW 44,JWC,Joe Wright Crk Below Chambers,JWC-Joe Wright @ Aspen Glen Campground,8-Jun-15,NORM,,,,,,,,,,4.74,0.33,7.55,385.34,41.5,1.77,0.02,0.82,1.07,5.23,0.04,0.5,0.49,0,1.82
FCW 37,PBR,,Poudre Below Rustic,8-Jun-15,NORM,,,,,,,,,,6.35,0.32,7.35,248.58,32,1.71,0.02,0.66,0.9,3.74,0.06,0.46,0.48,0,1.97
FCW 38,PJW,,Poudre Above Joe Wright,8-Jun-15,NORM,,,,,,,,,,7.08,0.39,7.14,162.72,25.6,1.24,0.01,0.57,0.67,3.02,0.08,0.28,0.9,0,2
FCW 40,PNF,,Poudre Above North Fork,8-Jun-15,NORM,,,,,,,,,,6.45,0.34,7.46,344.59,42.7,2.24,0.03,0.73,1.18,4.91,0.1,0.94,0.53,0,2.64
FCW 39,SFM,,Poudre South Fork,8-Jun-15,NORM,,,,,,,,,,6.39,0.32,7.35,258.97,33.8,1.85,0.02,0.65,0.93,3.85,0.08,0.5,0.5,0,2.16
FCW 50,JWC,Joe Wright Crk Below Chambers,JWC-Joe Wright @ Aspen Glen Campground,22-Jun-15,NORM,,,,,,,,,,3.89,0.34,7.51,308.42,35.9,1.42,0.02,0.74,0.9,4.4,0.05,0.35,0.93,0,1.64
FCW 49,PBR,,Poudre Below Rustic,22-Jun-15,NORM,,,,,,,,,,4.88,0.4,7.38,241.21,31.9,1.61,0.02,0.63,0.83,3.57,0.08,0.4,0.96,0,1.78
FCW 54,PJW,,Poudre Above Joe Wright,22-Jun-15,NORM,,,,,,,,,,5.24,0.4,7.24,157.51,24.9,1.25,0.02,0.47,0.65,2.8,0.1,0.21,1.07,0,1.72
FCW 53,PNF,,Poudre Above North Fork,22-Jun-15,NORM,,,,,,,,,,5,0.38,7.53,310.16,39.2,2.05,0.03,0.63,1.05,4.32,0.11,0.74,0.74,0,2.24
FCW 48,SFM,,Poudre South Fork,22-Jun-15,NORM,,,,,,,,,,4.97,0.37,7.43,255.1,32.7,1.71,0.02,0.58,0.87,3.56,0.09,0.43,0.72,0,1.85
FCW 55,JWC,Joe Wright Crk Below Chambers,JWC-Joe Wright @ Aspen Glen Campground,13-Jul-15,NORM,,,,,,,,,,3.02,0.3,7.56,320.09,35.8,1.42,0.02,0.72,0.87,4.37,0.05,0.35,0.81,0,1.61
FCW 59,PBR,,Poudre Below Rustic,13-Jul-15,NORM,,,,,,,,,,3.3,0.27,7.58,317.29,39.1,1.66,0.02,0.62,1.01,4.44,0.09,0.38,0.62,0,2.43
FCW 62,PJW,,Poudre Above Joe Wright,13-Jul-15,NORM,,,,,,,,,,3.75,0.33,7.4,222.6,32.2,1.34,0.02,0.49,0.8,3.78,0.14,0.2,0.92,0,3.04
FCW 56,PNF,,Poudre Above North Fork,13-Jul-15,NORM,,,,,,,,,,3.91,0.33,7.68,293.24,51.2,2.48,0.02,0.69,1.4,5.73,0.13,0.96,0.77,0,3.07
FCW 61,SFM,,Poudre South Fork,13-Jul-15,NORM,,,,,,,,,,3.81,0.31,7.58,343.44,41.9,1.99,0.02,0.64,1.12,4.73,0.11,0.49,0.65,0,2.66
FCW 71,JWC,Joe Wright Crk Below Chambers,JWC-Joe Wright @ Aspen Glen Campground,17-Aug-15,NORM,,,,,,,,,,2.59,0.31,6.88,332.05,38.1,1.53,0.02,0.78,0.99,5.11,0.06,0.29,0.56,0,1.91
FCW 65,PBR,,Poudre Below Rustic,17-Aug-15,NORM,,,,,,,,,,2.5,0.23,7.46,371.43,44.3,1.76,0.01,0.7,1.19,5.48,0.13,0.4,0.45,0,3.48
FCW 66,PJW,,Poudre Above Joe Wright,17-Aug-15,NORM,,,,,,,,,,3.11,0.26,6.7,193.11,40.6,1.4,0.02,0.61,1,5.26,0.19,0.27,0.7,0,5.02
FCW 69,PNF,,Poudre Above North Fork,17-Aug-15,NORM,,,,,,,,,,3.5,0.3,6.97,294.18,61.9,2.57,0.03,0.8,1.57,6.79,0.13,0.94,0.19,0,3.69
FCW 72,SFM,,Poudre South Fork,17-Aug-15,NORM,,,,,,,,,,3.01,0.27,6.9,216.89,48.3,2.04,0.03,0.74,1.25,5.5,0.07,0.5,0.19,0,3.43
FCW 75,PBR,,Poudre Below Rustic,14-Sep-15,NORM,,,,,,,,,,2.01,0.22,7.81,613.37,66.4,3,0.03,1.05,1.94,7.6,0.13,1.33,0.48,0,3.58
FCW 80,PJW,,Poudre Above Joe Wright,14-Sep-15,NORM,,,,,,,,,,2.09,0.2,7.56,349.1,39.8,2.07,0.02,0.56,0.96,4.18,0.16,0.34,0.34,0,3.09
FCW 73,PNF,,Poudre Above North Fork,14-Sep-15,NORM,,,,,,,,,,4.68,0.26,7.45,699.7,79.7,3.9,0.04,1.01,2.25,9.3,0.17,2.1,0.43,0,4.31
FCW 78,SFM,,Poudre South Fork,14-Sep-15,NORM,,,,,,,,,,2.21,0.2,7.82,587.32,65.2,3.15,0.03,0.89,1.8,6.99,0.15,1.07,0.37,0,3.26
FCW 82,JWC,Joe Wright Crk Below Chambers,JWC-Joe Wright @ Aspen Glen Campground,12-Oct-15,NORM,,,,,,,,,,2.64,0.13,7.8,618.24,62.3,2.38,0.02,0.94,1.51,7.96,0.07,0.97,0.03,0,2.24
FCW 86,PBR,,Poudre Below Rustic,12-Oct-15,NORM,,,,,,,,,,1.83,0.11,7.85,682.37,74.5,3.57,0.03,1.11,2.17,7.9,0.15,2.44,0.04,0,3.75
FCW 85,PJW,,Poudre Above Joe Wright,12-Oct-15,NORM,,,,,,,,,,1.91,0.13,7.62,374.21,45.5,2.26,0.02,0.62,1.11,4.77,0.15,0.54,0.17,0,3.49
FCW 81,PNF,,Poudre Above North Fork,12-Oct-15,NORM,,,,,,,,,,2.17,0.12,7.96,897.5,98.2,5,0.05,1.12,2.77,10.71,0.2,3.66,0.09,0,5.04
FCW 84,SFM,,Poudre South Fork,12-Oct-15,NORM,,,,,,,,,,2.1,0.09,7.84,660.53,72,3.54,0.03,0.92,1.94,7.2,0.16,1.52,0.01,0,3.51
FCW 90,JWC,Joe Wright Crk Below Chambers,JWC-Joe Wright @ Aspen Glen Campground,9-Nov-15,NORM,,,,,,,,,,2.69,0.15,7.85,710.02,74.5,3.11,0.02,1.17,1.71,9.27,0.08,1.36,0.13,0,2.41
FCW 93,PBR,,Poudre Below Rustic,9-Nov-15,NORM,,,,,,,,,,1.67,0.13,7.88,694.41,75.6,3.96,0.03,1.2,2.27,8.01,0.13,1.94,0.27,0,3.65
FCW 95,PJW,,Poudre Above Joe Wright,9-Nov-15,NORM,,,,,,,,,,1.9,0.24,7.65,394.29,45.1,2.88,0.02,0.89,1.14,4.65,0.13,0.55,0.69,0,2.44
FCW 91,PNF,,Poudre Above North Fork,9-Nov-15,NORM,,,,,,,,,,1.87,0.2,8.02,1014.81,115.1,6.03,0.05,1.12,3.25,12.25,0.21,4.86,0.43,0,5.83
FCW 96,SFM,,Poudre South Fork,9-Nov-15,NORM,,,,,,,,,,1.75,0.14,7.89,731.51,79.1,3.95,0.01,0.99,2.18,7.79,0.15,2.37,0.27,0,3.91
FCW 100,HORO,Hourglass Outlet,Hourglass Outflow,21-Aug-20,NORM,,,,,,,,26.4,,2.78,0.23,6.69,238.75,24.95,1.1,0.02,0.42,0.77,3.52,0.04,0.24,0.11,0,0.89
FCW 164,BMD,Barnes Meadow Reservoir outflow,Barnes Meadow Outflow,20-Oct-20,NORM,,,,,,,,,,9.61,0.5,7.33,375.6,42.43,1.93,0.02,1.04,0.66,5.65,0.05,0.66,0.11,0,1.75
FCW 161,LNGR,Long Draw,Long Draw Reservoir,20-Oct-20,NORM,,,,,,,,,,2.39,0.34,6.9,203.46,27.52,1.01,0.02,0.59,1.19,1.94,0.22,0.14,0.09,0,1.98
FCW 162,PTRR,PTRR_102020,Peterson Reservoir,20-Oct-20,NORM,,,,,,,,,,9.37,0.48,6.92,268.85,40.12,1.35,0.01,1.07,0.47,4.06,0.02,0.29,0.16,0,7.34
FCW 220,PNF,,Poudre Above North Fork,16-Nov-20,NORM,,,,,,,,,,1.8,0.22,7.89,799.61,102.85,4.14,0.01,1.17,2.25,11.61,0.09,2.31,0.45,0,5.59
FCW 240,BMD,BMD_040721,Barnes Meadow Outflow,7-Apr-21,NORM,,,,,,,6,,,10.2,0.4,7.65,397.12,49.91,2.1,0.12,1.06,0.69,5.42,0.03,0.61,0.15,0,2.07
FCW 232,PJW,PJW_040721,Poudre Above Joe Wright,7-Apr-21,NORM,,,,,,,1.9,9.52,,5.48,0.63,7.18,350.32,41.68,1.78,0.05,1.21,1.09,4.01,0.09,0.61,0.83,0,2.19
FCW 237,JWC,JWC_040721,JWC-Joe Wright @ Aspen Glen Campground,7-Apr-21,NORM,,,,,,,,,,2.64,0.23,7.39,482.68,52,2.15,0.01,0.8,1.08,5.55,0.04,0.55,0.1,0,2.5
FCW 227,PBR,PBR_040721,Poudre Below Rustic,7-Apr-21,NORM,,,,,,,,,,1.86,0.19,7.31,586.51,63.56,5.12,0.02,1.04,2.56,4.4,0.11,0.79,0.06,0.07,2.51
FCW 229,PNF,PNF_040721,Poudre Above North Fork,7-Apr-21,NORM,,,,,,,,,,4.44,0.74,7.82,1398.41,135.9,3.67,0.09,1.08,3.1,13.74,0.05,0.68,0.58,0,5.47
FCW 225,PSF,PSF_040721,Poudre Below S. Fork,7-Apr-21,NORM,,,,,,,,,,4.99,0.31,7.34,550.29,92.89,2.28,0,1.28,2.77,9.9,0.07,1.42,0.12,0,12.23
FCW 238,SFM,SFM_040721,Poudre South Fork,7-Apr-21,NORM,,,,,,,,,,6.44,0.52,7.36,404.05,50.82,3,0.08,0.78,1.29,5.01,0.08,0.76,0.61,0,3.56
FCW 241,BMD,BMD_041221,Barnes Meadow Outflow,12-Apr-21,NORM,,,,,,,,2.88,,8.83,0.56,7,444.24,51.48,2.12,0.08,1.01,0.63,5.68,0.04,0.7,0.08,0,1.85
FCW 243,PJW,PJW_041221,Poudre Above Joe Wright,12-Apr-21,NORM,,,,,,,1.5,0.98,,6.08,0.62,7.08,347.11,42.65,1.98,0.01,1.06,1.11,4.02,0.11,0.69,0.29,0,2.21
FCW 242,JWC,JWC_041221,JWC-Joe Wright @ Aspen Glen Campground,12-Apr-21,NORM,,,,,,,,,,2.93,0.18,7.26,503.64,49.26,1.82,0.02,0.72,1.11,5.09,0.05,0.8,0.11,0,2.52
FCW 245,PBR,PBR_041221,Poudre Below Rustic,12-Apr-21,NORM,,,,,,,,,,4.53,0.27,7.45,624.54,64.23,2.18,0.01,0.97,1.74,6.21,0.07,1.39,0.08,0,3.05
FCW 248,PNF,PNF_041221,Poudre Above North Fork,12-Apr-21,NORM,,,,,,,,,,4.87,0.25,7.55,743.27,91.12,4.21,0.01,1.12,2.09,10.98,0.11,2.56,0.43,0,5.39
FCW 247,PSF,PSF_041221,Poudre Below S. Fork,12-Apr-21,NORM,,,,,,,,,,4.88,0.33,7.36,503.4,68.96,2.66,0.01,0.94,1.85,6.26,0.11,1.41,0.13,0,3.3
FCW 246,SFM,SFM_041221,Poudre South Fork,12-Apr-21,NORM,,,,,,,,,,5.19,0.48,7.33,393.02,49.64,2.89,0.01,0.8,1.22,5.03,0.08,0.81,0.62,0,3.64
FCW 250,CBRI,CBRI_041321,Chambers Inlet,13-Apr-21,NORM,,,,,,,1.8,0,,3.18,0.3,7.3,460.9,54.26,1.96,0.01,0.85,1.22,5.94,0.08,0.54,0.09,0,1.95
FCW 262,BMD,BMD_041921,Barnes Meadow Outflow,19-Apr-21,NORM,,,,,,,12,3.75,,9.67,0.77,7.48,369.75,43.28,2.13,0.09,0.96,0.65,5.42,0.04,0.68,0.09,0,2.01
FCW 261,CBRI,CBRI_041921,Chambers Inlet,19-Apr-21,NORM,,,,,,,2,0,,2.61,0.24,7.32,443.42,55.19,2.01,0.01,0.84,1.18,5.98,0.06,0.59,0.1,0,1.93
FCW 263,CHD,CHD_041921,Chambers Outflow,19-Apr-21,NORM,,,,,,,2.4,1.92,,2.94,0.36,7.28,509.69,60.2,2.13,0.01,0.92,1.32,6.48,0.06,0.85,0.05,0,2.54
FCW 265,PJW,PJW_041921,Poudre Above Joe Wright,19-Apr-21,NORM,,,,,,,1.4,0,,4.29,0.44,7.27,381.18,42.42,2.02,0.01,0.99,1.08,4.12,0.12,0.65,0.3,0,2.29
FCW 264,JWC,JWC_041921,JWC-Joe Wright @ Aspen Glen Campground,19-Apr-21,NORM,,,,,,,,,,4.12,0.3,7.37,499.82,52.97,1.72,0.01,0.78,1.21,5.55,0.05,0.59,0.05,0,2.5
FCW 267,PBR,PBR_041921,Poudre Below Rustic,19-Apr-21,NORM,,,,,,,,,,3.69,0.23,7.47,574.46,62.08,2.77,0.01,0.94,1.72,6.01,0.07,1.41,0.11,0,2.95
FCW 270,PNF,PNF_041921,Poudre Above North Fork,19-Apr-21,NORM,,,,,,,,,,4.31,0.26,7.63,700.11,98.59,4.34,0.01,1.06,1.98,10.54,0.11,2.96,0.42,0,5.3
FCW 268,PSF,PSF_041921,Poudre Below S. Fork,19-Apr-21,NORM,,,,,,,,,,3.87,0.2,7.5,480.83,58.53,2.74,0.11,0.98,1.8,6.02,0.1,1.38,0.14,0,3.33
FCW 260,SFM,SFM_041921,Poudre South Fork,19-Apr-21,NORM,,,,,,,,,,3.63,0.36,7.28,381.79,48.37,2.87,0.01,0.79,1.28,4.79,0.08,0.78,0.57,0,3.75
FCW 283,BMD,BMD_042621,Barnes Meadow Outflow,26-Apr-21,NORM,,,,,,,15,6.67,,10.51,1,7.14,444.5,51.04,3.15,0.09,0.91,0.78,5.66,0.03,0.76,0.11,0,1.95
FCW 281,CBRI,CBRI_042621,Chambers Inlet,26-Apr-21,NORM,,,,,,,2,202.86,,2.76,0.31,7.13,450.52,50.11,1.99,0.01,0.92,1.24,5.94,0.06,0.64,0.07,0,1.92
FCW 282,CHD,CHD_042621,Chambers Outflow,26-Apr-21,NORM,,,,,,,1.5,0,,3.03,0.36,6.99,505.86,56.8,2.55,0.02,0.97,1.36,6.74,0.06,0.75,0.04,0,2.5
FCW 285,PJW,PJW_042621,Poudre Above Joe Wright,26-Apr-21,NORM,,,,,,,,0,,4.37,0.65,6.97,340.96,40.27,2.1,0.01,0.99,1.07,3.98,0.1,0.71,0.34,0,2.27
FCW 284,JWC,JWC_042621,JWC-Joe Wright @ Aspen Glen Campground,26-Apr-21,NORM,,,,,,,,,,3.6,0.24,7.2,537.61,54.07,1.75,0.02,0.81,1.34,5.79,0.05,0.92,0.06,0,2.5
FCW 287,PBR,PBR_042621,Poudre Below Rustic,26-Apr-21,NORM,,,,,,,,,,3.78,0.22,7.63,623.79,63.29,2.78,0.01,0.91,1.82,5.35,0.06,1.38,0.12,0,2.91
FCW 288,PBR,PBR_042621,Poudre Below Rustic,26-Apr-21,DUPLICATE,,,,,,,,,,3.83,0.28,7.61,635.9,63.21,2.84,0.01,0.88,1.76,5.21,0.06,1.4,0.12,0,2.9
FCW 292,PNF,PNF_042621,Poudre Above North Fork,26-Apr-21,NORM,,,,,,,,,,5.58,0.33,7.48,708.45,97.46,4.25,0.01,1.01,1.92,10.55,0.1,3.01,0.48,0,5.34
FCW 290,PSF,PSF_042621,Poudre Below S. Fork,26-Apr-21,NORM,,,,,,,,,,4.48,0.22,7.55,484.99,58.75,2.94,0.01,0.84,1.78,5.95,0.11,1.45,0.12,0,3.2
FCW 289,SFM,SFM_042621,Poudre South Fork,26-Apr-21,NORM,,,,,,,,,,4.62,0.4,7.25,382.84,51.62,2.91,0.01,0.86,1.24,4.88,0.07,0.8,0.59,0,3.65
FCW 323,BMD,BMD_050321,Barnes Meadow Outflow,3-May-21,NORM,,,,,,,9,8.21,,10.05,0.73,7.01,142.61,56.42,3.06,0.08,0.92,0.76,5.44,0.06,1.38,0.12,0,14.54
FCW 321,CBRI,CBRI_050321,Chambers Inlet,3-May-21,NORM,,,,,,,1.6,2.2,,5.23,0.52,7.36,112.21,49.14,1.84,0.01,0.85,1.01,4.85,0.06,0.59,0.8,0,13.72
FCW 322,CHD,CHD_050321,Chambers Outflow,3-May-21,NORM,,,,,,,1,0.11,,2.96,0.28,7.1,470.21,64.36,2.33,0.02,0.84,1.34,6.04,0.07,0.99,0.26,0,8.42
FCW 325,PJW,PJW_050321,Poudre Above Joe Wright,3-May-21,NORM,,,,,,,3,3,,6.62,0.53,7.07,269.79,56.5,1.85,0.01,0.87,1.01,4.32,0.07,1.83,0.62,0,13.13
FCW 324,JWC,JWC_050321,JWC-Joe Wright @ Aspen Glen Campground,3-May-21,NORM,,,,,,,,,,5.85,0.8,7.28,501.23,80.42,1.49,0.02,0.94,1.42,7.23,0.07,4.73,0.16,0,14.47
FCW 327,PBR,PBR_050321,Poudre Below Rustic,3-May-21,NORM,,,,,,,,,,6.4,0.51,7.3,475.88,73.28,2.4,0.01,0.88,1.74,6.2,0.08,2.45,0.48,0,14.19
FCW 332,PNF,PNF_050321,Poudre Above North Fork,3-May-21,NORM,,,,,,,,,,7.51,0.48,7.41,568.64,95.41,3.22,0.01,0.95,1.93,10.29,0.17,5.02,0.58,0,12.1
FCW 329,PSF,PSF_050321,Poudre Below S. Fork,3-May-21,NORM,,,,,,,,,,7,0.45,7.35,514.77,72.28,2.54,0.02,0.87,1.69,6.09,0.11,2.26,0.5,0,12.9
FCW 328,SFM,SFM_050321,Poudre South Fork,3-May-21,NORM,,,,,,,,,,7.41,0.5,7.17,386.67,61.05,1.8,0.01,0.74,1.29,5.01,0.14,1.94,0.45,0,11.58
FCW 347,BMD,BMD_051021,Barnes Meadow Outflow,10-May-21,NORM,,,,,,,5.5,8,,9.28,0.66,7.14,702.12,97.33,1.31,0.08,1.07,1.5,9.59,0.05,2.37,0.35,0.09,23.68
FCW 345,CBRI,CBRI_051021,Chambers Inlet,10-May-21,NORM,,,,,,,1.75,1,,4.2,0.39,7.16,469.68,65.04,1.46,0.01,0.83,1.06,6.19,0.06,2.15,0.74,0.1,11.22
FCW 346,CHD,CHD_051021,Chambers Outflow,10-May-21,NORM,,,,,,,1.25,2,,3.34,0.34,7.02,465.58,62.25,1.01,0.02,0.77,1.16,5.74,0.06,1.53,0.66,0.05,9.4
FCW 349,PJW,PJW_051021,Poudre Above Joe Wright,10-May-21,NORM,,,,,,,2.4,2,,5.99,0.46,7.27,259.18,53.96,1.44,0.03,0.74,1.04,4.77,0.07,1.38,0.69,0.05,11.89
FCW 350,PJW,PJW_051021,Poudre Above Joe Wright,10-May-21,DUPLICATE,,,,,,,2.5,2,,5.88,0.45,7.29,252.18,52.65,1.3,0.03,0.74,1.08,4.73,0.06,1.31,0.68,0.05,11.88
FCW 348,JWC,JWC_051021,JWC-Joe Wright @ Aspen Glen Campground,10-May-21,NORM,,,,,,,,,,5.98,0.46,7.59,520.87,90.36,1.33,0.02,1.09,1.56,9.9,0.06,4.68,0.07,0.04,13.79
FCW 352,PBR,PBR_051021,Poudre Below Rustic,10-May-21,NORM,,,,,,,,,,5.82,0.38,7.55,480.16,74.17,2.32,0.02,0.84,1.55,6.18,0.07,3.01,0.48,0.06,13.8
FCW 356,PNF,PNF_051021,Poudre Above North Fork,10-May-21,NORM,,,,,,,,,,6.43,0.43,7.46,639.51,87.2,1.98,0.01,0.9,1.76,7.09,0.16,4.54,0.57,0.05,12.23
FCW 354,PSF,PSF_051021,Poudre Below S. Fork,10-May-21,NORM,,,,,,,,,,5.68,0.39,7.29,484.91,70.93,1.99,0.02,0.83,1.58,6.22,0.1,2.01,0.47,0.07,12.95
FCW 353,SFM,SFM_051021,Poudre South Fork,10-May-21,NORM,,,,,,,,,,6.58,0.53,8.04,483.69,59.35,1.76,0.02,0.68,1.31,5.08,0.13,1.46,0.41,0.07,10.98
FCW 383,BMD,BMD_051721,Barnes Meadow Outflow,17-May-21,NORM,,,,,,,3.4,7.92,,9.61,0.8,7.77,795.89,103.53,1.85,0.21,1.33,1.83,10.98,0.05,1.99,0.56,0.33,26.93
FCW 381,CBRI,CBRI_051721,Chambers Inlet,17-May-21,NORM,,,,,,,0.8,0,,4.82,0.46,7.44,445.48,65.93,1.5,0.01,1.03,1.51,7.82,0.05,1.49,0.8,0.31,11.04
FCW 382,CHD,CHD_051721,Chambers Outflow,17-May-21,NORM,,,,,,,3,8,,4.2,0.36,7.46,484.32,64.08,1.47,0.03,0.93,1.29,6.07,0.05,1.66,0.51,0.27,8.52
FCW 385,PJW,PJW_051721,Poudre Above Joe Wright,17-May-21,NORM,,,,,,,2.5,8.91,,5.97,0.43,7.13,204.82,47.86,1.15,0.03,0.82,1.14,4.83,0.05,1.16,0.71,0.03,10.62
FCW 384,JWC,JWC_051721,JWC-Joe Wright @ Aspen Glen Campground,17-May-21,NORM,,,,,,,,,,7.79,0.3,7.46,462.82,88.69,2.37,0.01,1.02,1.64,7.61,0.05,4.42,0.04,0.03,19.48
FCW 388,PBR,PBR_051721,Poudre Below Rustic,17-May-21,NORM,,,,,,,,,,5.74,0.41,7.31,379.75,65.89,1.93,0.03,0.98,1.54,6.12,0.06,1.93,0.3,0.03,11.79
FCW 392,PNF,PNF_051721,Poudre Above North Fork,17-May-21,NORM,,,,,,,,,,6.34,0.39,7.48,489.53,73.92,2.21,0.02,0.98,1.74,6.96,0.12,2.92,0.39,0,11.07
FCW 390,PSF,PSF_051721,Poudre Below S. Fork,17-May-21,NORM,,,,,,,,,,6.21,0.37,7.36,383.2,65.93,1.85,0.02,0.97,1.59,6.18,0.08,1.98,0.28,0,11.25
FCW 389,SFM,SFM_051721,Poudre South Fork,17-May-21,NORM,,,,,,,,,,7.17,0.44,7.21,290.74,51.9,1.7,0.02,0.82,1.32,4.99,0.11,1.12,0.36,0.03,9.33
FCW 396,BMD,BMD_052421,Barnes Meadow Outflow,24-May-21,NORM,,,,,,,2.1,2,,7.59,0.48,6.89,491.76,84.37,2.43,0.1,1.25,1.65,10.52,0.03,1.54,0.24,0,12.67
FCW 394,CBRI,CBRI_052421,Chambers Inlet,24-May-21,NORM,,,,,,,1,1.98,,5.06,0.4,7.17,422.3,77.79,2.06,0.02,1.2,2.35,9.21,0.09,1.83,0.79,0.43,12.89
FCW 395,CHD,CHD_052421,Chambers Outflow,24-May-21,NORM,,,,,,,1.9,0,,4.62,0.45,7.18,443.67,64.14,1.97,0.02,0.92,2.02,7.22,0.09,1.02,0.52,0.28,10.45
FCW 398,PJW,PJW_052421,Poudre Above Joe Wright,24-May-21,NORM,,,,,,,1.5,4.1,,7.71,0.5,6.89,215.62,40.11,1.33,0.06,0.88,1.02,4.49,0.06,0.69,0.79,0,6.43
